DATE,BSCURT02GBQ160S
1985-01-01,82.6
1985-04-01,82.5
1985-07-01,83.7
1985-10-01,83.1
1986-01-01,82.7
1986-04-01,82
1986-07-01,82.8
1986-10-01,82.9
1987-01-01,83.6
1987-04-01,83.8
1987-07-01,83.5
1987-10-01,84.2
1988-01-01,85.2
1988-04-01,85.8
1988-07-01,84.9
1988-10-01,85.1
1989-01-01,85.4
1989-04-01,85.3
1989-07-01,84.6
1989-10-01,84
1990-01-01,84.1
1990-04-01,83.7
1990-07-01,83.3
1990-10-01,82.3
1991-01-01,80.8
1991-04-01,78.7
1991-07-01,77.3
1991-10-01,77.7
1992-01-01,77
1992-04-01,77.7
1992-07-01,78.7
1992-10-01,78.3
1993-01-01,76.9
1993-04-01,80.1
1993-07-01,79.9
1993-10-01,80.7
1994-01-01,82.1
1994-04-01,81.4
1994-07-01,82.4
1994-10-01,82.8
1995-01-01,83.9
1995-04-01,84.8
1995-07-01,83.5
1995-10-01,83.1
1996-01-01,82.7
1996-04-01,81.4
1996-07-01,81.6
1996-10-01,82
1997-01-01,82.4
1997-04-01,82.8
1997-07-01,83.2
1997-10-01,84.4
1998-01-01,84.4
1998-04-01,83.8
1998-07-01,82.8
1998-10-01,81.6
1999-01-01,78.9
1999-04-01,78.7
1999-07-01,77.7
1999-10-01,79.7
2000-01-01,81.4
2000-04-01,79.6
2000-07-01,81
2000-10-01,80.7
2001-01-01,80.8
2001-04-01,79.9
2001-07-01,78.5
2001-10-01,77.4
2002-01-01,77.3
2002-04-01,78.1
2002-07-01,79.4
2002-10-01,78.2
2003-01-01,77.9
2003-04-01,78.1
2003-07-01,77.6
2003-10-01,77
2004-01-01,77.6
2004-04-01,80.2
2004-07-01,81.2
2004-10-01,81
2005-01-01,82.1
2005-04-01,78.3
2005-07-01,78.7
2005-10-01,79.7
2006-01-01,79
2006-04-01,79.7
2006-07-01,80
2006-10-01,79.6
2007-01-01,82.2
2007-04-01,83.1
2007-07-01,81.8
2007-10-01,81.6
2008-01-01,82.2
2008-04-01,82.6
2008-07-01,82.4
2008-10-01,77.3
2009-01-01,72.8
2009-04-01,70
2009-07-01,71.6
2009-10-01,74.3
2010-01-01,74.3
2010-04-01,76.8
2010-07-01,77.3
2010-10-01,79.3
2011-01-01,79.2
2011-04-01,82.2
2011-07-01,80.2
2011-10-01,82.4
2012-01-01,82.9
2012-04-01,80.3
2012-07-01,80.4
2012-10-01,80.2
2013-01-01,81.2
2013-04-01,79.7
2013-07-01,77.9
2013-10-01,81.1
2014-01-01,81.2
2014-04-01,81
2014-07-01,84.2
2014-10-01,81.7
2015-01-01,83.0
2015-04-01,83.6
2015-07-01,82.6
2015-10-01,80.4
2016-01-01,79.7
2016-04-01,79.3
2016-07-01,81.0
2016-10-01,80.5
2017-01-01,81.3
2017-04-01,83.0
2017-07-01,82.5
2017-10-01,84.7
2018-01-01,81.4
2018-04-01,83.3
